observed_scientific_name,valid_scientific_name,vernacular_en
Hemaris diffinis,Hemaris diffinis,bumblebee moth
Virbia ferruginosa,Virbia ferruginosa,NULL
Speranza sulphurea,Speranza sulphurea,NULL
Crambus saltuellus,Crambus saltuellus,NULL
Xanthotype urticaria,Xanthotype urticaria,false crocus geometer
Parapoynx badiusalis,Parapoynx badiusalis,NULL
Macaria masquerata,Macaria masquerata,NULL
Scopula frigidaria,Scopula frigidaria,NULL
Eufidonia notataria,Eufidonia notataria,powder moth
Speranza occiduaria,Speranza occiduaria,NULL
Crambus praefectellus,Crambus praefectellus,NULL
Oeneis jutta,Oeneis jutta,jutta arctic
Boloria eunomia triclaris,Boloria eunomia triclaris,NULL
Rheumaptera hastata,Rheumaptera hastata,spear-marked black
Boloria eunomia dawsoni,Boloria eunomia dawsoni,NULL
Oeneis jutta balder,Oeneis jutta balder,NULL
Lithobates clamitans,Lithobates clamitans,green frog
Glaucomys sabrinus,Glaucomys sabrinus,northern flying squirrel
Martes americana,Martes americana,american marten
Gyrinophilus porphyriticus,Gyrinophilus porphyriticus,spring salamander
Chrysemys picta,Chrysemys picta,eastern painted turtle
Lepus americanus,Lepus americanus,snowshoe hare
Procyon lotor,Procyon lotor,northern raccoon
Castor canadensis,Castor canadensis,american beaver
Necturus maculosus,Necturus maculosus,mudpuppy
Ambystoma jeffersonianum,Ambystoma jeffersonianum,jefferson salamander
Megalodacne heros,Megalodacne heros,NULL
Plathemis lydia,Plathemis lydia,common whitetail
Phytolacca americana,Phytolacca americana,common pokeweed
Eacles imperialis,Eacles imperialis,imperial moth
Libellula incesta,Libellula incesta,slaty skimmer
Gleditsia triacanthos,Gleditsia triacanthos,honey locust
Lupinus polyphyllus,Lupinus polyphyllus,large-leaved lupine
Oniscus asellus,Oniscus asellus,NULL
Hedera helix,Hedera helix,english ivy
Artemisia vulgaris,Artemisia vulgaris,common wormwood
Daedaleopsis confragosa,Daedaleopsis confragosa,NULL
Apis mellifera,Apis mellifera,honey bee
Capsella bursa-pastoris,Capsella bursa-pastoris,common shepherd's purse
Nerodia sipedon sipedon,Nerodia sipedon sipedon,northern water snake
Plagodis pulveraria,Plagodis pulveraria,american barred umber
Leucocoprinus cepistipes,Leucocoprinus cepistipes,NULL
Securigera varia,Securigera varia,purple crown-vetch
Pelidnota punctata,Pelidnota punctata,NULL
Fucus distichus,Fucus distichus,NULL
Macrodactylus subspinosus,Macrodactylus subspinosus,NULL
Protodeltote muscosula,Protodeltote muscosula,NULL
Macaria pustularia,Speranza pustularia,lesser maple spanworm
Carex platyphylla,Carex platyphylla,broad-leaved sedge
Lygaeus kalmii,Lygaeus kalmii,NULL
Trachemys scripta elegans,Trachemys scripta elegans,red-eared slider
Pachydiplax longipennis,Pachydiplax longipennis,blue dasher
Hippodamia convergens,Hippodamia convergens,convergent lady beetle
Coprinopsis variegata,Coprinopsis variegata,NULL
Pterospora andromedea,Pterospora andromedea,pinedrops
Matricaria discoidea,Matricaria discoidea,pineappleweed
Leucorrhinia intacta,Leucorrhinia intacta,dot-tailed whiteface
Bombus bimaculatus,Bombus bimaculatus,two-spotted bumble bee
Graphiphora augur,Graphiphora augur,NULL
Tragopogon dubius,Tragopogon dubius,yellow goatsbeard
Scopula limboundata,Scopula limboundata,large lace-border
Amanita flavoconia,Amanita flavoconia,NULL
Ischnura verticalis,Ischnura verticalis,eastern forktail
Amanita rubescens,Amanita rubescens,NULL
Paulownia tomentosa,Paulownia tomentosa,princess tree
Drosera intermedia,Drosera intermedia,spoon-leaved sundew
Boehmeria cylindrica,Boehmeria cylindrica,small-spike false nettle
Erythemis simplicicollis,Erythemis simplicicollis,eastern pondhawk
Helianthus divaricatus,Helianthus divaricatus,woodland sunflower
Sylvilagus floridanus,Sylvilagus floridanus,eastern cottontail
Cicindela punctulata,Cicindela punctulata,punctured tiger beetle
Sagittaria latifolia,Sagittaria latifolia,broad-leaved arrowhead
Lotus corniculatus,Lotus corniculatus,garden bird's-foot trefoil
Donacaula longirostrallus,Donacaula longirostrallus,NULL
Synchlora aerata,Synchlora aerata,wavy-lined emerald
Noctua pronuba,Noctua pronuba,NULL
Limax maximus,Limax maximus,giant gardenslug
Symphyotrichum puniceum,Symphyotrichum puniceum,purple-stemmed aster
Trifolium repens,Trifolium repens,white clover
Tylopilus felleus,Tylopilus felleus,NULL
Silene latifolia,Silene latifolia,white campion
Heliopsis helianthoides,Heliopsis helianthoides,NULL
Halysidota tessellaris,Halysidota tessellaris,banded tussock moth
Lobelia dortmanna,Lobelia dortmanna,water lobelia
Anax junius,Anax junius,common green darner
Solidago caesia,Solidago caesia,blue-stemmed goldenrod
Disclisioprocta stellata,Disclisioprocta stellata,somber carpet
Trichopoda pennipes,Trichopoda pennipes,NULL
Vespula germanica,Vespula germanica,NULL
Hypena scabra,Hypena scabra,green cloverworm
Eristalis dimidiata,Eristalis dimidiata,NULL
Photuris,Photuris,NULL
Pontederia cordata,Pontederia cordata,pickerelweed
Elymus virginicus,Elymus virginicus,virginia wildrye
Pleurotus ostreatus,Pleurotus ostreatus,NULL
Hymenia perspectalis,Hymenia perspectalis,NULL
Polistes fuscatus,Polistes fuscatus,NULL
Draba verna,Draba verna,spring draba
Hemerocallis fulva,Hemerocallis fulva,orange daylily
Urocyon cinereoargenteus,Urocyon cinereoargenteus,common gray fox
Lunaria annua,Lunaria annua,annual honesty
Lycogala epidendrum,Lycogala epidendrum,NULL
Phidippus audax,Phidippus audax,bold jumper
Udea rubigalis,Udea rubigalis,NULL
Foeniculum vulgare,Foeniculum vulgare,sweet fennel
Coccinella septempunctata,Coccinella septempunctata,sevenspotted lady beetle
Polistes dominula,Polistes dominula,NULL
Sparganium eurycarpum,Sparganium eurycarpum,broad-fruited burreed
Dulichium arundinaceum,Dulichium arundinaceum,three-way sedge
Gymnocarpium dryopteris,Gymnocarpium dryopteris,common oak fern
Celithemis eponina,Celithemis eponina,halloween pennant
Cisseps fulvicollis,Cisseps fulvicollis,NULL
Aquilegia canadensis,Aquilegia canadensis,red columbine
Crataegus monogyna,Crataegus monogyna,english hawthorn
Melanoplus bivittatus,Melanoplus bivittatus,two-striped grasshopper
Epilobium ciliatum,Epilobium ciliatum,northern willowherb
Anticlea multiferata,Anticlea multiferata,many-lined carpet
Mycena leaiana,Mycena leaiana,NULL
Agriphila vulgivagellus,Agriphila vulgivagellus,NULL
Sitona hispidulus,Sitona hispidulus,NULL
Melanoplus punctulatus,Melanoplus punctulatus,NULL
Vespa crabro,Vespa crabro,NULL
Argiope aurantia,Argiope aurantia,yellow garden spider
Solanum nigrum,Solanum nigrum,black nightshade
Lobelia cardinalis,Lobelia cardinalis,cardinal flower
Dyspteris abortivaria,Dyspteris abortivaria,bad-wing
Equisetum variegatum,Equisetum variegatum,NULL
Anavitrinella pampinaria,Anavitrinella pampinaria,common gray
Bombus impatiens,Bombus impatiens,common eastern bumble bee
Campanula rotundifolia,Campanula rotundifolia,bluebell of scotland
Labidomera clivicollis,Labidomera clivicollis,NULL
Amorpha juglandis,Amorpha juglandis,walnut sphinx
Harmonia axyridis,Harmonia axyridis,NULL
Hyalophora cecropia,Hyalophora cecropia,cecropia silkmoth
Lapara bombycoides,Lapara bombycoides,northern pine sphinx
Trametes versicolor,Trametes versicolor,NULL
Helianthus annuus,Helianthus annuus,common sunflower
Berteroa incana,Berteroa incana,hoary alyssum
Hylaeus modestus,Hylaeus modestus,yellow-faced bee
Chrysopa oculata,Chrysopa oculata,NULL
Trifolium hybridum,Trifolium hybridum,alsike clover
Enallagma exsulans,Enallagma exsulans,stream bluet
Libellula pulchella,Libellula pulchella,twelve-spotted skimmer
Viburnum opulus,Viburnum opulus,cranberry viburnum
Cephalanthus occidentalis,Cephalanthus occidentalis,eastern buttonbush
Sympetrum,Sympetrum,NULL
Potentilla indica,Duchesnea indica indica,mock strawberry
Bittacomorpha clavipes,Bittacomorpha clavipes,NULL
Schizophyllum commune,Schizophyllum commune,NULL
Ageratina altissima,Ageratina altissima,white snakeroot
Hypoprepia fucosa,Hypoprepia fucosa,NULL
Spoladea recurvalis,Spoladea recurvalis,NULL
Melilotus albus,Melilotus albus,white sweet-clover
Nematocampa resistaria,Nematocampa resistaria,horned spanworm moth
Mythimna unipuncta,Mythimna unipuncta,armyworm
Euphorbia maculata,Euphorbia maculata,spotted spurge
Coprinopsis atramentaria,Coprinopsis atramentaria,NULL
Lophocampa maculata,Lophocampa maculata,spotted tussock moth
Sympetrum danae,Sympetrum danae,black meadowhawk
Araneus marmoreus,Araneus marmoreus,marbled orbweaver
Vulpes vulpes,Vulpes vulpes,red fox
Erodium cicutarium,Erodium cicutarium,NULL
Ellychnia corrusca,Ellychnia corrusca,NULL
Scirpus cyperinus,Scirpus cyperinus,common woolly bulrush
Carex gracillima,Carex gracillima,graceful sedge
Gaillardia pulchella,Gaillardia pulchella,firewheel blanketflower
Darapsa choerilus,Darapsa choerilus,azalea sphinx
Sympetrum corruptum,Sympetrum corruptum,variegated meadowhawk
Syndemis afflictana,Syndemis afflictana,NULL
Trillium undulatum,Trillium undulatum,painted trillium
Vitis aestivalis,Vitis aestivalis,summer grape
Galgula partita,Galgula partita,wedgling moth
Vitula edmandsii,Vitula edmandsii,NULL
Goodyera pubescens,Goodyera pubescens,downy rattlesnake-plantain
Larinioides cornutus,Larinioides cornutus,furrow orbweaver
Ascalapha odorata,Ascalapha odorata,black witch
Malacosoma americana,Malacosoma americana,eastern tent caterpillar
Enallagma signatum,Enallagma signatum,orange bluet
Sparganium americanum,Sparganium americanum,american burreed
Leucorrhinia glacialis,Leucorrhinia glacialis,crimson-ringed whiteface
Acronicta insita,Acronicta insita,NULL
Argia moesta,Argia moesta,powdered dancer
Oncopeltus fasciatus,Oncopeltus fasciatus,large milkweed bug
Lascoria ambigualis,Lascoria ambigualis,NULL
Trifolium pratense,Trifolium pratense,red clover
Solanum emulans,Solanum villosum miniatum,eastern black nightshade
Calystegia sepium,Calystegia sepium,hedge false bindweed
Oclemena nemoralis,Oclemena nemoralis,bog aster
Ludwigia palustris,Ludwigia palustris,marsh seedbox
Monarda fistulosa,Monarda fistulosa,wild bergamot
Scleroderma citrinum,Scleroderma citrinum,NULL
Antheraea polyphemus,Antheraea polyphemus,polyphemus moth
Anaplectoides prasina,Anaplectoides prasina,green arches
Costaconvexa centrostrigaria,Costaconvexa centrostrigaria,bent-line carpet
Stellaria media,Stellaria media,common chickweed
Ilex opaca,Ilex opaca,american holly
Acanthocephala terminalis,Acanthocephala terminalis,NULL
Apocynum cannabinum,Apocynum cannabinum,hemp dogbane
Plusiodonta compressipalpis,Plusiodonta compressipalpis,NULL
Ctenolepisma lineata,Ctenolepisma lineata,NULL
Alypia octomaculata,Alypia octomaculata,eight-spotted forester
Artemisia ludoviciana,Artemisia ludoviciana,silver wormwood
Lophocampa caryae,Lophocampa caryae,hickory tussock moth
Metanema inatomaria,Metanema inatomaria,pale metanema
Chauliognathus pensylvanicus,Chauliognathus pensylvanicus,soldier beetle
Rudbeckia triloba,Rudbeckia triloba,brown-eyed susan
Eudryas grata,Eudryas grata,beautiful wood-nymph
Persicaria lapathifolia,Persicaria lapathifolia,curlytop knotweed
Trametes betulina,Lenzites betulinus,NULL
Thelephora terrestris,Thelephora terrestris,NULL
Juniperus virginiana,Juniperus virginiana,eastern red cedar
Hetaerina americana,Hetaerina americana,american rubyspot
Viola odorata,Viola odorata,english violet
Viola sororia,Viola sororia,woolly blue violet
Cicindela sexguttata,Cicindela sexguttata,six-spotted tiger beetle
Dicentra cucullaria,Dicentra cucullaria,dutchman's breeches
Juncus bufonius,Juncus bufonius,toad rush
Gryllus veletis,Gryllus veletis,NULL
Oecanthus nigricornis,Oecanthus nigricornis,blackhorned tree cricket
Oecanthus,Oecanthus,NULL
Platynus decentis,Platynus decentis,NULL
Pterostichus coracinus,Pterostichus coracinus,NULL
Pterostichus rostratus,Pterostichus rostratus,NULL
Agonum retractum,Agonum retractum,NULL
Pterostichus adstrictus,Pterostichus adstrictus,NULL
Pterostichus tristis,Pterostichus tristis,NULL
Sphaeroderus nitidicollis brevoorti,Sphaeroderus nitidicollis,NULL
Pterostichus pensylvanicus,Pterostichus pensylvanicus,NULL
Notiophilus aeneus,Notiophilus aeneus,NULL
Calathus ingratus,Calathus ingratus,NULL
Coenagrion interrogatum,Coenagrion interrogatum,subarctic bluet
Leucorrhinia hudsonica,Leucorrhinia hudsonica,hudsonian whiteface
Nehalennia irene,Nehalennia irene,sedge sprite
Enallagma ebrium,Enallagma ebrium,marsh bluet
Somatochlora septentrionalis,Somatochlora septentrionalis,muskeg emerald
Lestes disjunctus,Lestes disjunctus,northern spreadwing
Enallagma annexum,Enallagma annexum,northern bluet
Nehalennia gracilis,Nehalennia gracilis,sphagnum sprite
Somatochlora franklini,Somatochlora franklini,delicate emerald
Somatochlora walshii,Somatochlora walshii,brush-tipped emerald
Sympetrum obtrusum,Sympetrum obtrusum,white-faced meadowhawk
Somatochlora kennedyi,Somatochlora kennedyi,kennedy's emerald
Libellula quadrimaculata,Libellula quadrimaculata,four-spotted skimmer
Enallagma carunculatum,Enallagma carunculatum,tule bluet
Cordulia shurtleffii,Cordulia shurtleffii,american emerald
Basiaeschna janata,Basiaeschna janata,springtime darner
Aeshna sitchensis,Aeshna sitchensis,zigzag darner
Leucorrhinia proxima,Leucorrhinia proxima,belted whiteface
Ladona julia,Ladona julia,chalk-fronted corporal
Leucorrhinia patricia,Leucorrhinia patricia,canada whiteface
Libellula luctuosa,Libellula luctuosa,widow skimmer
Celithemis elisa,Celithemis elisa,calico pennant
Enallagma hageni,Enallagma hageni,hagen's bluet
Epitheca cynosura,Epitheca cynosura,common baskettail
Somatochlora cingulata,Somatochlora cingulata,lake emerald
Epitheca spinigera,Epitheca spinigera,spiny baskettail
Chromagrion conditum,Chromagrion conditum,aurora damsel
Dorocordulia libera,Dorocordulia libera,racket-tailed emerald
Sympetrum internum,Sympetrum internum,cherry-faced meadowhawk
Lestes unguiculatus,Lestes unguiculatus,lyre-tipped spreadwing
Enallagma boreale,Enallagma boreale,boreal bluet
Leucorrhinia frigida,Leucorrhinia frigida,frosted whiteface
Somatochlora albicincta,Somatochlora albicincta,ringed emerald
Aeshna eremita,Aeshna eremita,lake darner
Aeshna tuberculifera,Aeshna tuberculifera,black-tipped darner
Lestes rectangularis,Lestes rectangularis,slender spreadwing
Aeshna canadensis,Aeshna canadensis,canada darner
Lestes forcipatus,Lestes forcipatus,sweetflag spreadwing
Sympetrum rubicundulum,Sympetrum rubicundulum,ruby meadowhawk
Helocordulia uhleri,Helocordulia uhleri,uhler's sundragon
Epitheca princeps,Epitheca princeps,prince baskettail
Cordulegaster diastatops,Cordulegaster diastatops,delta-spotted spiketail
Gomphus borealis,Gomphus borealis,beaverpond clubtail
Coenagrion resolutum,Coenagrion resolutum,taiga bluet
Calopteryx maculata,Calopteryx maculata,ebony jewelwing
Calopteryx aequabilis,Calopteryx aequabilis,river jewelwing
Gomphus descriptus,Gomphus descriptus,harpoon clubtail
Gomphus exilis,Gomphus exilis,lancet clubtail
Macromia illinoiensis,Macromia illinoiensis,swift river cruiser
Gomphaeschna furcillata,Gomphaeschna furcillata,harlequin darner
Cordulegaster maculata,Cordulegaster maculata,twin-spotted spiketail
Ophiogomphus rupinsulensis,Ophiogomphus rupinsulensis,rusty snaketail
Lestes inaequalis,Lestes inaequalis,elegant spreadwing
Bosmina longirostris,Bosmina longirostris,NULL
Daphnia pulex,Daphnia pulex,NULL
Diaphanosoma brachyurum,Diaphanosoma brachyurum,NULL
Holopedium gibberum,Holopedium gibberum,NULL
Leptodiaptomus minutus,Leptodiaptomus minutus,NULL
Onychodiaptomus birgei,Onychodiaptomus birgei,NULL
Mesocyclops edax,Mesocyclops edax,NULL
Microcyclops rubellus,Microcyclops rubellus,NULL
Tropocyclops prasinus mexicanus,Tropocyclops prasinus mexicanus,NULL
Bosmina longispina,Eubosmina longispina,NULL
Daphnia catawba,Daphnia catawba,NULL
Daphnia dubia,Daphnia dubia,NULL
Diaphanosoma birgei,Diaphanosoma birgei,NULL
Daphnia mendotae,Daphnia mendotae,NULL
Ceriodaphnia laticaudata,Ceriodaphnia laticaudata,NULL
Leptodora kindti,Leptodora kindtii,NULL
Epischura lacustris,Epischura lacustris,NULL
Daphnia retrocurva,Daphnia retrocurva,NULL
Ceriodaphnia dubia,Ceriodaphnia dubia,NULL
Diacyclops thomasi,Diacyclops thomasi,NULL
Triadenum fraseri,Triadenum fraseri,fraser's marsh st. johnswort
Dryopteris carthusiana,Dryopteris carthusiana,spinulose wood fern
Carex stricta,Carex stricta,tussock sedge
Rhynchospora alba,Rhynchospora alba,white beakrush
Viburnum nudum,Viburnum nudum,possumhaw
Alnus rugosa,Alnus incana rugosa,NULL
Carex magellanica,Carex magellanica,boreal bog sedge
Trientalis borealis,Trientalis borealis,northern starflower
Streptopus lanceolatus,Streptopus lanceolatus,rose twisted-stalk
Fragaria vesca,Fragaria vesca,woodland strawberry
Platanthera blephariglottis,Platanthera blephariglottis,white fringed orchid
Carex trisperma,Carex trisperma,three-seeded sedge
Spiraea alba,Spiraea alba,white meadowsweet
Salix pyrifolia,Salix pyrifolia,balsam willow
Eriophorum virginicum,Eriophorum virginicum,tawny cottongrass
Juncus brevicaudatus,Juncus brevicaudatus,short-tailed rush
Galium palustre,Galium palustre,common marsh bedstraw
Carex echinata,Carex echinata,star sedge
Salix discolor,Salix discolor,pussy willow
Carex intumescens,Carex intumescens,bladder sedge
Cardamine pensylvanica,Cardamine pensylvanica,NULL
Myosotis laxa,Myosotis laxa,small forget-me-not
Carex michauxiana,Carex michauxiana,michaux's sedge
Salix eriocephala,Salix eriocephala,cottony willow
Calopogon tuberosus,Calopogon tuberosus,tuberous grass-pink
Pogonia ophioglossoides,Pogonia ophioglossoides,rose pogonia
Carex crinita,Carex crinita,fringed sedge
Scirpus atrocinctus,Scirpus atrocinctus,black-girdled bulrush
Glyceria canadensis,Glyceria canadensis,canada mannagrass
Carex stipata,Carex stipata,awl-fruited sedge
Juncus effusus,Juncus effusus,soft rush
Thelypteris palustris,Thelypteris palustris,marsh fern
Salix nigra,Salix nigra,black willow
Scirpus atrovirens,Scirpus atrovirens,dark-green bulrush
Zizania palustris,Zizania palustris,northern wildrice
Carex lacustris,Carex lacustris,lake sedge
Lysimachia thyrsiflora,Lysimachia thyrsiflora,tufted yellow loosestrife
Asclepias incarnata,Asclepias incarnata,swamp milkweed
Scutellaria galericulata,Scutellaria galericulata,marsh skullcap
Lycopodium obscurum,Lycopodium obscurum,flat-branched tree-clubmoss
Perimyotis subflavus,Perimyotis subflavus,tricolored bat
